# pllbench: one engine per process, 20s wall cap each; process startup ~52ms (identical for both engines, NOT subtracted)
id	class	formula	frjw	frjw_ms	g4c	g4c_ms	note
067	2v ◯0	((p ⊃ q) ⊃ p) ⊃ p	invalid	54	invalid	55	FRJW FASTER
068	2v ◯0	(p ∨ q) ⊃ (p ∧ q)	invalid	60	invalid	52	
069	2v ◯0	¬(p ∧ q) ⊃ (¬p ∨ ¬q)	invalid	6284	invalid	58	
070	2v ◯1	(◯p ∧ ◯q) ⊃ ◯(p ∧ q)	valid	1609	valid	57	
071	2v ◯1	◯(p ∧ q) ⊃ (◯p ∧ ◯q)	valid	90	valid	58	
072	2v ◯1	◯(p ∨ q) ⊃ (◯p ∨ ◯q)	invalid	723	invalid	669	
073	2v ◯1	(◯p ∨ ◯q) ⊃ ◯(p ∨ q)	valid	89	valid	55	
074	2v ◯1	(p ⊃ ◯q) ⊃ (◯p ⊃ ◯q)	valid	379	valid	54	
075	2v ◯1	◯(p ⊃ q) ⊃ (◯p ⊃ ◯q)	valid	679	valid	57	
076	2v ◯1	(◯p ⊃ ◯q) ⊃ ◯(p ⊃ q)	invalid	534	invalid	57	
077	2v ◯1	◯p ⊃ (q ⊃ ◯p)	valid	55	valid	55	
078	2v ◯1	(p ⊃ q) ⊃ (◯p ⊃ ◯q)	valid	125	valid	54	
079	2v ◯1	◯(p ∧ q) ⊃ ◯(q ∧ p)	valid	55	valid	54	
080	2v ◯2	◯◯(p ∧ q) ⊃ ◯(p ∧ q)	valid	53	valid	52	
081	2v ◯2	◯(◯p ⊃ q) ⊃ (◯p ⊃ ◯q)	valid	3155	valid	57	
082	2v ◯2	(◯◯p ∧ ◯q) ⊃ ◯(◯p ∧ q)	valid	10938	valid	54	
083	2v ◯2	◯(◯p ∨ ◯q) ⊃ (◯p ∨ ◯q)	timeout	20024	invalid	805	g4c decided, frjw did not
084	2v ◯2	(◯p ⊃ ◯◯q) ⊃ (◯p ⊃ ◯q)	valid	55	valid	52	
085	2v ◯2	◯((p ∨ q) ∧ ◯p) ⊃ ◯p	valid	52	valid	54	FRJW FASTER
086	2v ◯2	◯(p ⊃ ◯q) ⊃ (p ⊃ ◯q)	valid	128	valid	53	
087	2v ◯2	((◯p ⊃ q) ⊃ ◯p) ⊃ ◯p	invalid	208	invalid	51	
088	2v ⊃2	((p ⊃ q) ⊃ q) ⊃ (p ∨ q)	invalid	61	invalid	53	
089	2v ⊃2	(p ∨ q) ⊃ ((p ⊃ q) ⊃ q)	valid	57	valid	55	
090	2v ⊃2	((◯p ⊃ q) ⊃ q) ⊃ (◯p ∨ q)	invalid	687	invalid	53	
091	2v ⊃2	(p ⊃ (q ⊃ ⊥)) ⊃ ((p ∧ q) ⊃ ⊥)	valid	61	valid	54	
092	2v ⊃3	((p ⊃ q) ⊃ (q ⊃ p)) ⊃ (q ⊃ p)	valid	72	valid	55	
093	2v ⊃3	(((p ⊃ q) ⊃ p) ⊃ p) ⊃ (p ∨ ¬p)	invalid	542	invalid	51	
094	2v ⊃3	((◯p ⊃ ◯q) ⊃ ◯p) ⊃ ◯p	invalid	953	invalid	53	
095	2v ⊃3	(p ⊃ (q ⊃ ◯p)) ⊃ ((p ∧ q) ⊃ ◯p)	valid	62	valid	54	
096	2v mix	(◯(p ∨ q) ∧ ¬◯p) ⊃ ◯q	valid	106	valid	53	
097	2v mix	◯((p ⊃ q) ∨ (q ⊃ p))	invalid	60	invalid	53	
098	2v mix	(◯p ∧ (p ⊃ q)) ⊃ ◯q	valid	59	valid	53	
099	2v mix	◯(p ∧ ¬p) ⊃ ◯q	valid	56	valid	52	
100	2v ◯3	◯◯◯(p ∧ q) ⊃ ◯(p ∧ q)	valid	51	valid	53	FRJW FASTER
101	2v ◯3	◯(p ∧ q) ⊃ ◯◯◯(p ∧ q)	valid	53	valid	55	FRJW FASTER
102	2v ◯3	◯◯(◯p ∨ q) ⊃ ◯(◯p ∨ q)	valid	54	valid	52	
103	2v ◯3	◯(◯(◯p ∧ q) ⊃ q) ⊃ ◯q	invalid	10785	invalid	51	
104	2v ◯3	(◯◯◯p ∧ ◯◯q) ⊃ ◯◯(◯p ∧ q)	valid	10751	valid	57	
105	2v ◯3	◯◯(p ⊃ q) ⊃ (◯◯p ⊃ ◯◯q)	valid	658	valid	54	
106	2v ◯4	◯◯◯◯p ⊃ ◯◯p	valid	53	valid	52	
107	2v ◯4	◯◯(◯◯p ∨ ◯◯q) ⊃ (◯◯p ∨ ◯◯q)	timeout	20028	invalid	802	g4c decided, frjw did not
108	2v ⊃4	(((p ⊃ q) ⊃ p) ⊃ p) ⊃ (((q ⊃ p) ⊃ q) ⊃ q)	invalid	9472	invalid	54	
109	2v ⊃4	((((p ⊃ q) ⊃ q) ⊃ p) ⊃ p)	invalid	61	invalid	55	
110	2v ⊃4	((((◯p ⊃ q) ⊃ q) ⊃ ◯p) ⊃ ◯p)	invalid	298	invalid	52	
111	2v ⊃4	(((◯p ⊃ ◯q) ⊃ ◯p) ⊃ ◯p) ⊃ (◯p ∨ ¬◯p)	timeout	20033	invalid	56	g4c decided, frjw did not
112	2v ⊃4	((p ⊃ q) ⊃ (q ⊃ r)) ⊃ ((p ⊃ q) ⊃ (p ⊃ r))	timeout	20938	valid	66	g4c decided, frjw did not
113	2v ⊃4	(¬¬(p ∨ ¬p)) ⊃ ((p ⊃ q) ∨ (q ⊃ p))	invalid	13697	invalid	54	
114	3v ◯1	(◯p ∧ (q ∨ r)) ⊃ ((◯p ∧ q) ∨ (◯p ∧ r))	valid	15559	valid	59	
115	3v ◯1	((p ∨ q) ⊃ r) ⊃ ((p ⊃ r) ∧ (q ⊃ r))	valid	2836	valid	56	
116	3v ◯1	((p ⊃ r) ∧ (q ⊃ r)) ⊃ ((p ∨ q) ⊃ r)	valid	110	valid	54	
117	3v ◯2	(◯(p ∨ q) ∧ (p ⊃ r) ∧ (q ⊃ r)) ⊃ ◯r	valid	760	valid	57	
118	3v ◯2	◯(p ⊃ (q ⊃ r)) ⊃ (◯p ⊃ (◯q ⊃ ◯r))	timeout	20028	valid	60	g4c decided, frjw did not
119	3v ◯2	(◯◯p ∨ ◯q ∨ r) ⊃ ◯(◯p ∨ q ∨ r)	timeout	20027	valid	55	g4c decided, frjw did not
120	3v ◯2	◯((p ∧ q) ∨ (q ∧ r) ∨ (r ∧ p)) ⊃ (◯p ∨ ◯q ∨ ◯r)	timeout	20029	don't-know	56	g4c decided, frjw did not
121	3v ⊃3	(p ⊃ (q ⊃ r)) ⊃ ((p ∧ q) ⊃ r)	valid	59	valid	53	
122	3v ⊃3	((p ∧ q) ⊃ r) ⊃ (p ⊃ (q ⊃ r))	valid	163	valid	55	
123	3v ⊃3	((◯p ⊃ q) ⊃ r) ⊃ ((q ⊃ r) ⊃ (◯p ⊃ r))	timeout	20031	invalid	50	g4c decided, frjw did not
124	2v lax	((p ⊃ ◯q) ∧ (q ⊃ ◯r)) ⊃ (p ⊃ ◯r)	timeout	20034	valid	64	g4c decided, frjw did not
125	3v lax	((p ⊃ ◯q) ∧ (q ⊃ ◯r)) ⊃ (◯p ⊃ ◯r)	timeout	20031	valid	60	g4c decided, frjw did not
126	2v lax	◯(◯p ⊃ ◯q) ⊃ (◯p ⊃ ◯q)	valid	19773	valid	51	
127	2v lax	(◯p ⊃ ◯q) ⊃ ◯(◯p ⊃ ◯q)	valid	8347	valid	53	
128	2v lax	◯(p ∧ ◯q) ⊃ (◯p ∧ ◯q)	valid	687	valid	55	
129	2v lax	(◯p ∧ ◯◯q) ⊃ ◯(p ∧ ◯q)	valid	10683	valid	53	
