# pllbench: one engine per process, 20s wall cap each; process startup ~50ms (identical for both engines, NOT subtracted)
id	class	formula	frjw	frjw_ms	g4c	g4c_ms	note
068	2v ◯0	(p ∨ q) ⊃ (p ∧ q)	invalid	58	invalid	56	
069	2v ◯0	¬(p ∧ q) ⊃ (¬p ∨ ¬q)	invalid	6227	invalid	55	
070	2v ◯1	(◯p ∧ ◯q) ⊃ ◯(p ∧ q)	valid	1595	valid	55	
071	2v ◯1	◯(p ∧ q) ⊃ (◯p ∧ ◯q)	valid	90	valid	57	
072	2v ◯1	◯(p ∨ q) ⊃ (◯p ∨ ◯q)	invalid	718	invalid	706	
073	2v ◯1	(◯p ∨ ◯q) ⊃ ◯(p ∨ q)	valid	90	valid	56	
074	2v ◯1	(p ⊃ ◯q) ⊃ (◯p ⊃ ◯q)	valid	375	valid	56	
075	2v ◯1	◯(p ⊃ q) ⊃ (◯p ⊃ ◯q)	valid	672	valid	56	
076	2v ◯1	(◯p ⊃ ◯q) ⊃ ◯(p ⊃ q)	invalid	534	invalid	53	
077	2v ◯1	◯p ⊃ (q ⊃ ◯p)	valid	55	valid	55	
078	2v ◯1	(p ⊃ q) ⊃ (◯p ⊃ ◯q)	valid	126	valid	58	
079	2v ◯1	◯(p ∧ q) ⊃ ◯(q ∧ p)	valid	76	valid	57	
080	2v ◯2	◯◯(p ∧ q) ⊃ ◯(p ∧ q)	valid	108	valid	55	
081	2v ◯2	◯(◯p ⊃ q) ⊃ (◯p ⊃ ◯q)	valid	3122	valid	56	
082	2v ◯2	(◯◯p ∧ ◯q) ⊃ ◯(◯p ∧ q)	timeout	20025	valid	54	g4c decided, frjw did not
083	2v ◯2	◯(◯p ∨ ◯q) ⊃ (◯p ∨ ◯q)	timeout	20025	invalid	827	g4c decided, frjw did not
084	2v ◯2	(◯p ⊃ ◯◯q) ⊃ (◯p ⊃ ◯q)	valid	8453	valid	57	
085	2v ◯2	◯((p ∨ q) ∧ ◯p) ⊃ ◯p	valid	57	valid	56	
086	2v ◯2	◯(p ⊃ ◯q) ⊃ (p ⊃ ◯q)	valid	131	valid	56	
087	2v ◯2	((◯p ⊃ q) ⊃ ◯p) ⊃ ◯p	invalid	208	invalid	58	
088	2v ⊃2	((p ⊃ q) ⊃ q) ⊃ (p ∨ q)	invalid	61	invalid	62	FRJW FASTER
089	2v ⊃2	(p ∨ q) ⊃ ((p ⊃ q) ⊃ q)	valid	53	valid	53	
090	2v ⊃2	((◯p ⊃ q) ⊃ q) ⊃ (◯p ∨ q)	invalid	689	invalid	55	
091	2v ⊃2	(p ⊃ (q ⊃ ⊥)) ⊃ ((p ∧ q) ⊃ ⊥)	valid	63	valid	54	
092	2v ⊃3	((p ⊃ q) ⊃ (q ⊃ p)) ⊃ (q ⊃ p)	valid	70	valid	55	
093	2v ⊃3	(((p ⊃ q) ⊃ p) ⊃ p) ⊃ (p ∨ ¬p)	invalid	540	invalid	56	
094	2v ⊃3	((◯p ⊃ ◯q) ⊃ ◯p) ⊃ ◯p	invalid	944	invalid	57	
095	2v ⊃3	(p ⊃ (q ⊃ ◯p)) ⊃ ((p ∧ q) ⊃ ◯p)	valid	65	valid	56	
096	2v mix	(◯(p ∨ q) ∧ ¬◯p) ⊃ ◯q	valid	104	valid	55	
097	2v mix	◯((p ⊃ q) ∨ (q ⊃ p))	invalid	62	invalid	53	
098	2v mix	(◯p ∧ (p ⊃ q)) ⊃ ◯q	valid	66	valid	55	
099	2v mix	◯(p ∧ ¬p) ⊃ ◯q	valid	58	valid	57	
100	2v ◯3	◯◯◯(p ∧ q) ⊃ ◯(p ∧ q)	valid	162	valid	54	
101	2v ◯3	◯(p ∧ q) ⊃ ◯◯◯(p ∧ q)	valid	1085	valid	52	
