A1F20_valid	fuelchain	((⊥ ⊃ ⊥))
A1F20_from_circr	fuelchain	◯r ⊃ ((⊥ ⊃ ⊥))
E1F20_to_r	fuelchain	((r ∧ (◯((((((((((r ∧ ◯⊥) ∨ ◯(r ∧ ◯⊥)) ∧ ◯⊥) ∨ ((r ∧ ◯⊥) ∨ ◯((((r ∧ ◯⊥) ∨ ◯(r ∧ ◯⊥)) ∧ ◯⊥) ∨ (r ∧ ◯⊥)))) ∧ ◯⊥) ∨ (r ∨ ◯((((r ∧ ◯⊥) ∨ ◯(r ∧ ◯⊥)) ∧ ◯⊥) ∨ r))) ∧ ◯(r ⊃ ◯⊥)) ∨ (r ∨ (r ∨ (r ∨ (r ∨ (◯((((((((r ∧ ◯⊥) ∨ ◯(r ∧ ◯⊥)) ∧ ◯⊥) ∨ ((r ∧ ◯⊥) ∨ ◯((((r ∧ ◯⊥) ∨ ◯(r ∧ ◯⊥)) ∧ ◯⊥) ∨ (r ∧ ◯⊥)))) ∧ ◯⊥) ∨ (r ∨ ◯((((r ∧ ◯⊥) ∨ ◯(r ∧ ◯⊥)) ∧ ◯⊥) ∨ r))) ∧ ◯(r ⊃ ◯⊥)) ∨ (r ∨ (r ∨ (r ∨ (◯((((((r ∧ ◯⊥) ∨ ◯(r ∧ ◯⊥)) ∧ ◯⊥) ∨ ((r ∧ ◯⊥) ∨ ◯((((r ∧ ◯⊥) ∨ ◯(r ∧ ◯⊥)) ∧ ◯⊥) ∨ (r ∧ ◯⊥)))) ∧ ◯⊥) ∨ (r ∨ (r ∨ ◯((((r ∧ ◯⊥) ∨ ◯(r ∧ ◯⊥)) ∧ ◯⊥) ∨ r)))) ∨ ◯((((((r ∧ ◯⊥) ∨ ◯(r ∧ ◯⊥)) ∧ ◯⊥) ∨ ((r ∧ ◯⊥) ∨ ◯((((r ∧ ◯⊥) ∨ ◯(r ∧ ◯⊥)) ∧ ◯⊥) ∨ (r ∧ ◯⊥)))) ∧ ◯(r ⊃ ◯⊥)) ∨ r)))))) ∨ (◯((((((((r ∧ ◯⊥) ∨ ◯(r ∧ ◯⊥)) ∧ ◯⊥) ∨ ((r ∧ ◯⊥) ∨ ◯((((r ∧ ◯⊥) ∨ ◯(r ∧ ◯⊥)) ∧ ◯⊥) ∨ (r ∧ ◯⊥)))) ∧ ◯⊥) ∨ (r ∨ ◯((((r ∧ ◯⊥) ∨ ◯(r ∧ ◯⊥)) ∧ ◯⊥) ∨ r))) ∧ ◯(r ⊃ ◯⊥)) ∨ (r ∨ (r ∨ ◯((((((r ∧ ◯⊥) ∨ ◯(r ∧ ◯⊥)) ∧ ◯⊥) ∨ ((r ∧ ◯⊥) ∨ ◯((((r ∧ ◯⊥) ∨ ◯(r ∧ ◯⊥)) ∧ ◯⊥) ∨ (r ∧ ◯⊥)))) ∧ ◯(r ⊃ ◯⊥)) ∨ r)))) ∨ (◯((((((r ∧ ◯⊥) ∨ ◯(r ∧ ◯⊥)) ∧ ◯⊥) ∨ ((r ∧ ◯⊥) ∨ ◯((((r ∧ ◯⊥) ∨ ◯(r ∧ ◯⊥)) ∧ ◯⊥) ∨ (r ∧ ◯⊥)))) ∧ ◯⊥) ∨ (r ∨ (r ∨ ◯((((r ∧ ◯⊥) ∨ ◯(r ∧ ◯⊥)) ∧ ◯⊥) ∨ r)))) ∨ ◯((((((r ∧ ◯⊥) ∨ ◯(r ∧ ◯⊥)) ∧ ◯⊥) ∨ ((r ∧ ◯⊥) ∨ ◯((((r ∧ ◯⊥) ∨ ◯(r ∧ ◯⊥)) ∧ ◯⊥) ∨ (r ∧ ◯⊥)))) ∧ ◯(r ⊃ ◯⊥)) ∨ r))))))))) ⊃ (r ∧ ◯r)) ∧ ((r ⊃ (r ∧ ◯r)) ∧ (r ∧ (r ∧ (r ∧ (r ∧ ◯r)))))) ∧ ◯(r ∧ (r ∧ (r ∧ ◯r)))))) ⊃ r
E1F20_from_r	fuelchain	r ⊃ ((r ∧ (◯((((((((((r ∧ ◯⊥) ∨ ◯(r ∧ ◯⊥)) ∧ ◯⊥) ∨ ((r ∧ ◯⊥) ∨ ◯((((r ∧ ◯⊥) ∨ ◯(r ∧ ◯⊥)) ∧ ◯⊥) ∨ (r ∧ ◯⊥)))) ∧ ◯⊥) ∨ (r ∨ ◯((((r ∧ ◯⊥) ∨ ◯(r ∧ ◯⊥)) ∧ ◯⊥) ∨ r))) ∧ ◯(r ⊃ ◯⊥)) ∨ (r ∨ (r ∨ (r ∨ (r ∨ (◯((((((((r ∧ ◯⊥) ∨ ◯(r ∧ ◯⊥)) ∧ ◯⊥) ∨ ((r ∧ ◯⊥) ∨ ◯((((r ∧ ◯⊥) ∨ ◯(r ∧ ◯⊥)) ∧ ◯⊥) ∨ (r ∧ ◯⊥)))) ∧ ◯⊥) ∨ (r ∨ ◯((((r ∧ ◯⊥) ∨ ◯(r ∧ ◯⊥)) ∧ ◯⊥) ∨ r))) ∧ ◯(r ⊃ ◯⊥)) ∨ (r ∨ (r ∨ (r ∨ (◯((((((r ∧ ◯⊥) ∨ ◯(r ∧ ◯⊥)) ∧ ◯⊥) ∨ ((r ∧ ◯⊥) ∨ ◯((((r ∧ ◯⊥) ∨ ◯(r ∧ ◯⊥)) ∧ ◯⊥) ∨ (r ∧ ◯⊥)))) ∧ ◯⊥) ∨ (r ∨ (r ∨ ◯((((r ∧ ◯⊥) ∨ ◯(r ∧ ◯⊥)) ∧ ◯⊥) ∨ r)))) ∨ ◯((((((r ∧ ◯⊥) ∨ ◯(r ∧ ◯⊥)) ∧ ◯⊥) ∨ ((r ∧ ◯⊥) ∨ ◯((((r ∧ ◯⊥) ∨ ◯(r ∧ ◯⊥)) ∧ ◯⊥) ∨ (r ∧ ◯⊥)))) ∧ ◯(r ⊃ ◯⊥)) ∨ r)))))) ∨ (◯((((((((r ∧ ◯⊥) ∨ ◯(r ∧ ◯⊥)) ∧ ◯⊥) ∨ ((r ∧ ◯⊥) ∨ ◯((((r ∧ ◯⊥) ∨ ◯(r ∧ ◯⊥)) ∧ ◯⊥) ∨ (r ∧ ◯⊥)))) ∧ ◯⊥) ∨ (r ∨ ◯((((r ∧ ◯⊥) ∨ ◯(r ∧ ◯⊥)) ∧ ◯⊥) ∨ r))) ∧ ◯(r ⊃ ◯⊥)) ∨ (r ∨ (r ∨ ◯((((((r ∧ ◯⊥) ∨ ◯(r ∧ ◯⊥)) ∧ ◯⊥) ∨ ((r ∧ ◯⊥) ∨ ◯((((r ∧ ◯⊥) ∨ ◯(r ∧ ◯⊥)) ∧ ◯⊥) ∨ (r ∧ ◯⊥)))) ∧ ◯(r ⊃ ◯⊥)) ∨ r)))) ∨ (◯((((((r ∧ ◯⊥) ∨ ◯(r ∧ ◯⊥)) ∧ ◯⊥) ∨ ((r ∧ ◯⊥) ∨ ◯((((r ∧ ◯⊥) ∨ ◯(r ∧ ◯⊥)) ∧ ◯⊥) ∨ (r ∧ ◯⊥)))) ∧ ◯⊥) ∨ (r ∨ (r ∨ ◯((((r ∧ ◯⊥) ∨ ◯(r ∧ ◯⊥)) ∧ ◯⊥) ∨ r)))) ∨ ◯((((((r ∧ ◯⊥) ∨ ◯(r ∧ ◯⊥)) ∧ ◯⊥) ∨ ((r ∧ ◯⊥) ∨ ◯((((r ∧ ◯⊥) ∨ ◯(r ∧ ◯⊥)) ∧ ◯⊥) ∨ (r ∧ ◯⊥)))) ∧ ◯(r ⊃ ◯⊥)) ∨ r))))))))) ⊃ (r ∧ ◯r)) ∧ ((r ⊃ (r ∧ ◯r)) ∧ (r ∧ (r ∧ (r ∧ (r ∧ ◯r)))))) ∧ ◯(r ∧ (r ∧ (r ∧ ◯r))))))
